,examples,label,bin
0,"<|endoftext|>The task is to predict the gender of the character in the following sentences. Answer only using A for 'female' or B for 'male'. 
 He is alive. Answer: B 
 She is alive. Answer: A 
 I like his. Answer: B",pronouns,1
1,"<|endoftext|>The task is to predict the gender of the character in the following sentences. Answer only using A for 'female' or B for 'male'. 
 She is alive. Answer: A 
 He is alive. Answer: B 
 I like his. Answer: B",pronouns,1
2,"<|endoftext|>The task is to predict the gender of the character in the following sentences. Answer only using A for 'female' or B for 'male'. 
 He is alive. Answer: B 
 She is alive. Answer: A 
 I like him. Answer: B",pronouns,1
3,"<|endoftext|>The task is to predict the gender of the character in the following sentences. Answer only using A for 'female' or B for 'male'. 
 She is alive. Answer: A 
 He is alive. Answer: B 
 I like him. Answer: B",pronouns,1
4,"<|endoftext|>The task is to predict the gender of the character in the following sentences. Answer only using B for 'female' or A for 'male'. 
 He is alive. Answer: A 
 She is alive. Answer: B 
 I like his. Answer: A",pronouns,1
5,"<|endoftext|>The task is to predict the gender of the character in the following sentences. Answer only using B for 'female' or A for 'male'. 
 She is alive. Answer: B 
 He is alive. Answer: A 
 I like his. Answer: A",pronouns,1
6,"<|endoftext|>The task is to predict the gender of the character in the following sentences. Answer only using B for 'female' or A for 'male'. 
 He is alive. Answer: A 
 She is alive. Answer: B 
 I like him. Answer: A",pronouns,1
7,"<|endoftext|>The task is to predict the gender of the character in the following sentences. Answer only using B for 'female' or A for 'male'. 
 She is alive. Answer: B 
 He is alive. Answer: A 
 I like him. Answer: A",pronouns,1
8,"<|endoftext|>The task is to predict the gender of the character in the following sentences. Answer only using A for 'female' or B for 'male'. 
 He is alive. Answer: B 
 She is alive. Answer: A 
 I like her. Answer: A",pronouns,-1
9,"<|endoftext|>The task is to predict the gender of the character in the following sentences. Answer only using A for 'female' or B for 'male'. 
 She is alive. Answer: A 
 He is alive. Answer: B 
 I like her. Answer: A",pronouns,-1
10,"<|endoftext|>The task is to predict the gender of the character in the following sentences. Answer only using B for 'female' or A for 'male'. 
 He is alive. Answer: A 
 She is alive. Answer: B 
 I like her. Answer: B",pronouns,-1
11,"<|endoftext|>The task is to predict the gender of the character in the following sentences. Answer only using B for 'female' or A for 'male'. 
 She is alive. Answer: B 
 He is alive. Answer: A 
 I like her. Answer: B",pronouns,-1
12,"<|endoftext|>The task is to predict the gender of the character in the following sentences. Answer only using A for 'female' or B for 'male'. 
 He is alive. Answer: B 
 She is alive. Answer: A 
 I am a countryman. Answer: B",nouns,1
13,"<|endoftext|>The task is to predict the gender of the character in the following sentences. Answer only using A for 'female' or B for 'male'. 
 She is alive. Answer: A 
 He is alive. Answer: B 
 I am a countryman. Answer: B",nouns,1
